,course_id,course_title,url,price,num_subscribers,num_reviews,num_lectures,level,rating,content_duration,published_timestamp,subject,Date,Free/Paid,clean_sorted,vid
3485,1236576,Learn to play and improve 12 bar blues harmonica solos,https://www.udemy.com/learn-to-play-and-improve-12-bar-blues-harmonica-solos/,40,4,1,27,Intermediate Level,0.11,1,2017-06-29T21:13:42Z,Musical Instruments,2017-06-29,Paid,Learn play improve  bar blues harmonica solos,vid2
3486,806642,Blues Master - Professional Techniques Piano Course,https://www.udemy.com/blues-master-professional-techniques-piano-course/,75,4,0,16,Beginner Level,0.3,1,2016-03-29T00:11:57Z,Musical Instruments,2016-03-29,Paid,Blues Master Professional Techniques Piano Course,vid3
3487,809492,Drumming 101: The Essential Elements,https://www.udemy.com/drums-101/,50,4,0,17,All Levels,0.74,1.5,2017-05-02T13:26:22Z,Musical Instruments,2017-05-02,Paid,Drumming  Essential Elements,vid4
3488,212506,Ahora aprende a tocar jazz en el piano,https://www.udemy.com/ahora-aprende-a-tocar-jazz-en-el-piano/,30,4,0,9,Beginner Level,0.88,1.5,2014-05-09T19:55:55Z,Musical Instruments,2014-05-09,Paid,Ahora aprende tocar jazz en el piano,vid1
3489,513528,Curso de guitarra para principiantes.,https://www.udemy.com/curso-de-guitarra-para-principiantes2/,20,4,0,7,Intermediate Level,0.92,1,2015-06-11T15:55:19Z,Musical Instruments,2015-06-11,Paid,Curso de guitarra para principiantes,vid2
3490,219844,Aprende a tocar el clarinete.,https://www.udemy.com/aprende-a-tocar-el-clarinete-curso-en-video/,50,4,0,26,All Levels,1,3,2014-05-19T17:00:39Z,Musical Instruments,2014-05-19,Paid,Aprende tocar el clarinete,vid3
3491,513212,Adobe InDesign Tips and Tricks,https://www.udemy.com/adobe-indesign-best-tutorials/,80,4,0,8,All Levels,0.94,1,2015-06-22T23:37:56Z,Graphic Design,2015-06-22,Paid,Adobe InDesign Tips Tricks,vid4
3492,570188,Low Poly Portrait Illustration,https://www.udemy.com/low-poly-portrait-illustration/,20,4,0,8,All Levels,0.94,0.6833333333,2015-08-04T18:48:18Z,Graphic Design,2015-08-04,Paid,Low Poly Portrait Illustration,vid1
3493,978272,Create your own Photoshop brush preset!,https://www.udemy.com/create-autumn-leaf-brushes/,20,4,1,8,Beginner Level,0.94,0.6166666667,2016-11-18T01:59:31Z,Graphic Design,2016-11-18,Paid,Create Photoshop brush preset,vid2
3494,753154,Making Corporate Flyers in Photoshop,https://www.udemy.com/making-corporate-flyers-in-photoshop/,20,4,3,7,Beginner Level,0.94,0.5166666667,2016-02-05T19:58:53Z,Graphic Design,2016-02-05,Paid,Making Corporate Flyers Photoshop,vid3
3495,1164570,调色高级讲解,https://www.udemy.com/dezepioy/,200,4,2,8,All Levels,0.94,1,2017-03-31T17:16:15Z,Graphic Design,2017-03-31,Paid,,vid4
3496,1143148,PHOTOSHOP: Dessiner l'affiche du film Rogue One en style BD,https://www.udemy.com/photoshop-dessiner-laffiche-du-film-rogue-one-en-style-bd/,50,4,0,20,All Levels,0.94,4.5,2017-04-27T00:51:04Z,Graphic Design,2017-04-27,Paid,PHOTOSHOP Dessiner laffiche du film Rogue One en style BD,vid1
3497,365926,Events Promotion Design,https://www.udemy.com/eventspromotiondesign/,45,4,0,9,All Levels,0.94,2,2016-02-11T21:43:10Z,Graphic Design,2016-02-11,Paid,Events Promotion Design,vid2
3498,1264512,Trading Forex - L'analyse des volumes,https://www.udemy.com/trading-forex-lanalyse-des-volumes/,70,4,3,13,All Levels,0.97,2,2017-06-29T21:32:21Z,Business Finance,2017-06-29,Paid,Trading Forex Lanalyse des volumes,vid3
3500,625670,Technical Charting,https://www.udemy.com/technical-charting/,20,4,1,6,All Levels,0.97,1,2015-11-02T20:23:54Z,Business Finance,2015-11-02,Paid,Technical Charting,vid4
3501,1153854,"Working Capital assessment for bankers, credit analysts",https://www.udemy.com/working-capital-assessment-for-bankers-credit-analysts/,20,4,0,29,All Levels,0.97,7,2017-04-06T23:30:07Z,Business Finance,2017-04-06,Paid,Working Capital assessment bankers credit analysts,vid1
3502,1058530,"How to Get Growing, Passive Income from the Fortune 500!",https://www.udemy.com/how-to-get-growing-passive-income-from-the-fortune-500/,25,4,0,12,All Levels,0.97,1,2017-01-19T16:07:18Z,Business Finance,2017-01-19,Paid,Get Growing Passive Income Fortune ,vid2
3503,994118,Managing Budgets in the Public and Non Profit Sector,https://www.udemy.com/managing-budgets-in-the-public-and-non-profit-sector/,95,4,0,20,Beginner Level,0.97,2,2017-06-22T20:28:25Z,Business Finance,2017-06-22,Paid,Managing Budgets Public Non Profit Sector,vid3
3504,904240,A Guide To Trade Binary Options Like An Expert,https://www.udemy.com/a-guide-to-trade-binary-options-like-an-expert/,55,4,0,21,All Levels,0.97,1,2016-07-18T21:48:10Z,Business Finance,2016-07-18,Paid,Guide Trade Binary Options Like Expert,vid4
3505,1246684,Dash Crypto Currency Technical and Trading Overview Bootcamp,https://www.udemy.com/introduction-to-dash-crypto-currency-technical-overview/,20,4,1,14,Beginner Level,0.97,1,2017-06-19T21:59:42Z,Business Finance,2017-06-19,Paid,Dash Crypto Currency Technical Trading Overview Bootcamp,vid1
3506,1000136,"Basics of Fixed Income Valuation, CFA Level I 2017 Prep",https://www.udemy.com/basics-of-fixed-income-valuation-cfa-level-i-2017-prep/,20,4,0,14,All Levels,0.97,3.5,2017-01-28T16:47:51Z,Business Finance,2017-01-28,Paid,Basics Fixed Income Valuation CFA Level  Prep,vid2
3507,1227792,Contabilità Generale,https://www.udemy.com/contabilita-generale/,200,4,1,40,All Levels,0.97,8.5,2017-05-29T23:47:21Z,Business Finance,2017-05-29,Paid,Contabilit Generale,vid3
3508,868112,Chief Wealth Officer,https://www.udemy.com/chief-wealth-officer/,45,4,0,7,Intermediate Level,0.97,1,2016-06-03T22:38:05Z,Business Finance,2016-06-03,Paid,Chief Wealth Officer,vid4
3509,207304,Aprende a tocar la guitarra eléctrica,https://www.udemy.com/aprende-a-tocar-la-guitarra-electrica/,50,3,0,39,All Levels,0.8,5.5,2014-04-30T16:21:42Z,Musical Instruments,2014-04-30,Paid,Aprende tocar la guitarra elctrica,vid1
3510,219878,Aprende a tocar el contrabajo sin complicaciones,https://www.udemy.com/aprende-a-tocar-el-contrabajo-sin-complicaciones/,50,3,1,20,Beginner Level,0.62,3,2014-05-19T17:02:52Z,Musical Instruments,2014-05-19,Paid,Aprende tocar el contrabajo sin complicaciones,vid2
3511,545036,Saxophone Essentials: Beginners Course,https://www.udemy.com/saxophone-essentials-beginners-course/,40,3,0,16,All Levels,0.34,1.5,2017-04-26T17:28:12Z,Musical Instruments,2017-04-26,Paid,Saxophone Essentials Beginners Course,vid3
3512,383852,88 Logic - The Essential Guide To Learning Piano,https://www.udemy.com/88-logic-the-ultimate-course-for-learning-piano/,25,3,0,5,Beginner Level,0.43,0.5333333333,2015-01-13T15:45:05Z,Musical Instruments,2015-01-13,Paid, Logic Essential Guide Learning Piano,vid4
3513,388712,Learn To Play The Guitar In A Day,https://www.udemy.com/learn-to-play-the-guitar-in-a-day/,20,3,1,14,All Levels,0.11,1,2015-01-09T03:55:17Z,Musical Instruments,2015-01-09,Paid,Learn Play Guitar Day,vid1
3514,632234,Guitar Chords and Basic Strumming,https://www.udemy.com/guitar-chords-and-basic-strumming/,20,3,0,35,Beginner Level,0.22,2.5,2015-12-17T18:14:23Z,Musical Instruments,2015-12-17,Paid,Guitar Chords Basic Strumming,vid2
3515,847808,こどもギターレッスン　リトルギタリストⅢ（完結編）,https://www.udemy.com/takalittle3/,20,3,0,36,All Levels,0.76,1,2016-10-03T16:42:12Z,Musical Instruments,2016-10-03,Paid, ,vid3
3516,785210,Flute Lessons For Beginners,https://www.udemy.com/the-music-coach-online-flute-lesson-program/,95,3,0,41,Beginner Level,0.27,2.5,2016-03-09T00:34:03Z,Musical Instruments,2016-03-09,Paid,Flute Lessons Beginners,vid4
3517,195196,Aprende a improvisar en la guitarra eléctrica,https://www.udemy.com/aprende-a-improvisar-en-la-guitarra-electrica/,50,3,0,19,All Levels,0.34,3,2014-05-05T21:59:45Z,Musical Instruments,2014-05-05,Paid,Aprende improvisar en la guitarra elctrica,vid1
3518,594854,Getting Started on the Acoustic Guitar,https://www.udemy.com/getting-started-on-the-acoustic-guitar/,20,3,0,28,All Levels,0.84,1,2015-10-20T20:02:26Z,Musical Instruments,2015-10-20,Paid,Getting Started Acoustic Guitar,vid2
3519,436568,Diseño de logo para principiantes,https://www.udemy.com/logo_para_principiantes/,25,3,3,12,All Levels,0.94,0.6666666667,2015-03-23T17:37:40Z,Graphic Design,2015-03-23,Paid,Diseo de logo para principiantes,vid3
3520,1068664,Create a Majestic Bear on Adobe Illustrator,https://www.udemy.com/bear-adobe-illustrator/,55,3,0,10,Intermediate Level,0.94,1,2017-05-02T20:44:42Z,Graphic Design,2017-05-02,Paid,Create Majestic Bear Adobe Illustrator,vid4
3521,1141560,Débuter avec KRITA,https://www.udemy.com/debuter-avec-krita/,25,3,0,14,All Levels,0.94,2,2017-05-01T21:00:57Z,Graphic Design,2017-05-01,Paid,Dbuter avec KRITA,vid1
3522,586914,Aprende Photoshop con Ejercicios Prácticos.,https://www.udemy.com/aprende-photoshop-con-ejercicios-practicos/,20,3,0,46,Intermediate Level,0.94,4,2015-12-22T16:22:03Z,Graphic Design,2015-12-22,Paid,Aprende Photoshop con Ejercicios Prcticos,vid2
3523,1265678,CORSO COMPLETO DI E-ON VUE X-STREAM PER TUTTI,https://www.udemy.com/corso-completo-di-e-on-vue-x-stream-per-tutti/,70,3,1,20,Beginner Level,0.94,3.5,2017-06-23T21:37:55Z,Graphic Design,2017-06-23,Paid,CORSO COMPLETO DI EON VUE XSTREAM PER TUTTI,vid3
3524,1258402,Canva Complete Course For Graphics Design | 20 Projects,https://www.udemy.com/canva-course-graphics-design/,20,3,3,27,Beginner Level,0.94,2.5,2017-06-27T15:22:40Z,Graphic Design,2017-06-27,Paid,Canva Complete Course Graphics Design  Projects,vid4
3525,181294,Photoshop: Creando efectos de luz,https://www.udemy.com/photoshop-creando-efectos-de-luz/,20,3,1,9,All Levels,0.94,1.5,2014-04-02T21:24:33Z,Graphic Design,2014-04-02,Paid,Photoshop Creando efectos de luz,vid1
3526,177472,Nuke X: Aprende composición digital,https://www.udemy.com/nuke-x-aprende-composicion-digital/,35,3,1,21,All Levels,0.94,2.5,2014-04-01T21:08:52Z,Graphic Design,2014-04-01,Paid,Nuke X Aprende composicin digital,vid2
3527,1139792,会声会影深度教学,https://www.udemy.com/nice-ppt/,200,3,2,12,Beginner Level,0.94,0.6,2017-03-17T17:07:38Z,Graphic Design,2017-03-17,Paid,,vid3
3528,185500,Introducción al retrato realista con Photoshop,https://www.udemy.com/introduccion-al-retrato-realista-con-photoshop/,20,3,0,7,All Levels,0.94,1,2014-04-15T21:38:52Z,Graphic Design,2014-04-15,Paid,Introduccin al retrato realista con Photoshop,vid4
3529,954842,Black Scholes Option Pricing Model,https://www.udemy.com/black-scholes-option-pricing-model/,25,3,0,10,Intermediate Level,0.97,1,2017-05-03T16:42:34Z,Business Finance,2017-05-03,Paid,Black Scholes Option Pricing Model,vid1
3530,309854,How to invest in Russian equity market,https://www.udemy.com/how-to-invest-in-russian-equity-market/,30,3,0,12,Beginner Level,0.97,1.5,2015-09-15T18:28:43Z,Business Finance,2015-09-15,Paid,invest Russian equity market,vid2
3531,1240408,Forex Trading for Beginners Vol 1:A Forex Course Made Simple,https://www.udemy.com/forex-trading-for-beginners-vol-1a-forex-course-made-simple/,175,3,0,27,Beginner Level,0.97,1,2017-07-04T22:23:09Z,Business Finance,2017-07-04,Paid,Forex Trading Beginners Vol A Forex Course Made Simple,vid3
3532,513046,Learn The ABC's Of Investing And Understanding True Financial Value,https://www.udemy.com/investing-101-guide/,20,3,0,8,Beginner Level,0.97,1.5,2015-06-01T22:47:06Z,Business Finance,2015-06-01,Paid,Learn ABCs Investing Understanding True Financial Value,vid4
3533,304410,Credit Control Procedures,https://www.udemy.com/credit-control/,20,3,0,6,Beginner Level,0.97,0.5666666667,2014-09-22T03:58:46Z,Business Finance,2014-09-22,Paid,Credit Control Procedures,vid1
3534,1193288,Accounting Simplified,https://www.udemy.com/accounting-simplified/,30,3,0,41,All Levels,0.97,8.5,2017-05-03T16:14:01Z,Business Finance,2017-05-03,Paid,Accounting Simplified,vid2
3535,963664,Learn Piano Online-Nocturnal Piano Solo,https://www.udemy.com/learn-piano-online-nocturnal-piano-solo/,60,2,0,11,Beginner Level,0.53,1.5,2016-09-21T04:58:08Z,Musical Instruments,2016-09-21,Paid,Learn Piano OnlineNocturnal Piano Solo,vid3
3536,1124590,Learn How To Play The Trumpet,https://www.udemy.com/learn-how-to-play-the-trumpet/,75,2,0,24,All Levels,0.51,1.5,2017-06-19T21:42:44Z,Musical Instruments,2017-06-19,Paid,Learn Play Trumpet,vid4
